Term,Definition
Echo Statement,A statement that outputs its input without modifying it.
Encoding,The process of converting text into a binary format that can be stored or transmitted.
Exception Handling,The process of detecting and responding to exceptions in a program.
Expression,An evaluation of one or more values using operators.
Field,An attribute or property of an object.
File Input/Output (I/O),The process of reading and writing data from and to files.
Function,A block of code that can be called multiple times from different parts of the program.
Garbage Collection,The process of automatically freeing up memory occupied by objects that are no longer needed.
Global Variable,A variable that is defined outside any function and can be accessed by all functions.
Hierarchical Structure,A tree-like structure where each node has zero or more child nodes.
Inheritance,The mechanism by which one class can inherit properties and behavior from another class.
Injection Attack,An attack where an attacker injects malicious data into an application's input fields to manipulate its behavior.
Inner Join,An operation in SQL that combines rows from two tables based on a common column.
Inner Loop,A loop statement that is nested within another loop statement.
Instantiation,The process of creating an instance of a class or object.
Integer Division,The division operation where both dividend and divisor are integers.
Iteration,The process of repeating a sequence of instructions until a condition is met.
JSON,"JavaScript Object Notation, a lightweight data interchange format."
Keyword,A reserved word in a programming language that has a special meaning.
Lambda Function,"A small, anonymous function that can be defined inline."
Library,A collection of pre-written code that can be reused by other programs.
Linked List,"A data structure that consists of a sequence of nodes, each of which contains a value and a reference to the next node."
Local Variable,"A variable that is defined within a specific scope, such as a function or block."
Loop,A statement that allows the program to repeat a sequence of instructions.
Macro,A set of instructions that can be expanded into a larger piece of code.
Machine Code,"Low-level, binary code that is executed directly by the computer's processor."
Memory Allocation,The process of assigning memory to a program or object.
Method,A block of code that is associated with an object or class and can be invoked using an object-oriented programming language.
Middleware,Software that acts as an intermediary between two or more systems or applications.
Mutex,A synchronization primitive that allows only one thread to access a shared resource at a time.
Namespace,"A logical grouping of classes, functions, and variables that can be used to avoid naming conflicts."
Nested Loop,A loop statement that is nested within another loop statement.
Network Protocol,A set of rules and standards that govern data communication over a network.
Object-Oriented Programming (OOP),A programming paradigm that focuses on creating objects that contain data and behavior.
Operator Overloading,The ability to redefine the behavior of an operator for a specific class or object.
Output Statement,"A statement that writes output to the console, file, or network."
Package Manager,A tool or system that manages the installation and maintenance of software packages.
Parser,A program that analyzes source code and breaks it down into its constituent parts.
Pointer,A variable that stores the memory address of another variable or object.
Polynomial Time Complexity,"A measure of the computational complexity of an algorithm, where the time it takes to complete increases polynomially with the size of the input."
Priority Queue,A data structure that allows elements to be prioritized based on their importance.
Protocol,A set of rules and standards that govern communication between two or more systems.
Pseudocode,A high-level representation of a programming language that is easier to read and understand.
Queue,A data structure that follows the First-In-First-Out (FIFO) principle.
Recursive Function,A function that calls itself repeatedly until it reaches a base case.
Regular Expression,A pattern-matching language used to search and validate text.
Relational Database,A type of database that organizes data into tables with defined relationships.
Resource Allocation,"The process of assigning resources such as memory, CPU, and network bandwidth to programs or processes."
